YEAR,ALA,WNA,ACN,ACS,GRL,ISL,SJM,SCA,RUA,ASN,CEU,CAU,ASC,ASW,ASE,TRP,SA,NZL,ANT
1968,-0.28837915516101900,0.31697663528340500,-0.08244632082522950,-0.29801404615934600,0.04380650250548190,0.062016811140608600,0.19942173494040700,0.08992279363807880,0.306358543160351,-0.7350697227750000,0.6623857909439540,0.15367953369606600,-0.27137317287903400,-0.3177215940396290,-0.578504767540386,,,,
1969,0.09768145871566020,-0.04880496000272700,0.07769009634346980,-0.16894713270982600,0.07504255744388130,-1.2244607571658600,-0.6205220036991930,-1.223161043090860,-0.5137535751309900,0.04848968213781010,0.4099420358949370,-1.0363885642437400,0.4813466667356090,0.5497841278420700,0.21257687290924400,,,,
1970,0.5273933006046960,-1.0015310956999200,0.038016177742597000,-0.20927884068900400,0.2696664394140030,-0.6369269292623860,-0.27080895587248900,-1.0049408654740100,-0.16390921686167500,-0.23935095970080900,0.06332988305381780,0.4635355946269720,0.19424929059304500,0.2378073444681700,-0.06860929312832120,,,,
1971,-0.003555537906410160,0.2858320271974030,-0.18355985083198300,-0.42594382123890000,-0.07916678039699180,0.10235281106607300,-0.25544873381627100,0.25471247921435400,-0.1489972691347500,-0.2278029443734640,-0.3496291650144580,-0.17654172127664400,0.04510348612458200,-0.11249158340358500,-0.07251778153513350,,,,
1972,-0.5250987792072190,0.5681299229020640,0.08387162346269740,-0.17531046926503000,0.36574072151839300,-0.2646670570172050,-0.0005654833894166630,-0.5394222807129400,0.10585512737241400,0.07182682482338560,0.3343227217066200,-1.0866204270290200,0.4410348193311060,0.40529835027745300,0.23290331144150100,,,,
1973,0.0880318200764323,-0.09911563477106000,0.049113891016273300,-0.22092386135617700,0.12665151809178300,0.2718955871307700,0.214316190932733,0.5626452788880370,0.3207013983290760,-0.6465550177266790,-0.4778945124041990,-0.2267004279697080,-0.24699128135035300,-0.2676059924556710,-0.47541267740298400,,,,
1974,-0.7001086336065730,0.9136621745395910,-0.01025421896849310,-0.2572983383866080,0.11580718784966000,0.06486230239519010,-0.6408042749702720,0.1781757994060500,-0.5344588529475200,-0.48377963412466200,0.3154197407513480,0.2932183272327040,-0.11618675666991700,-0.22990814187017100,-0.32971794358171200,,,,
1975,0.0372138288860606,0.16644836958834000,0.1385263611483860,-0.1196025936302980,0.1829986612488070,-0.08048801938943540,0.004412403411437330,0.3903335431596020,0.11041237000931700,-0.18547863651931600,0.5462411589148570,-0.8568681137441170,-0.030518088138289400,-0.44371793257651600,-0.0343090798187545,,,,
1976,-0.09457090143568500,1.1214300777583800,0.16748740290263300,-0.07404747151953450,0.4785189117232560,0.004318537060788380,-0.13561460934343600,0.358978717747248,-0.029750714277466300,-0.4499009563591710,-0.2297845656960660,0.3430485871307810,-0.17311691444523700,-0.4425070722147340,-0.298509969281583,-0.1435200573923810,-1.3636251888875700,-0.2506285106892800,0.1921174349937080
1977,0.5052554433281810,-0.6993458075769740,-0.1372139754121180,-0.3512065961298400,-0.02490892684473190,-0.5540521318411200,0.1892436729103180,-0.26621722634062400,0.29506676802019800,-0.15587146372938200,1.2551790202524700,-0.31703412273251300,-0.31689357162464400,-0.7368376903980740,-0.40459337450574700,-0.23697556926491700,-1.6548283309757200,-0.4555785616990490,0.11076512011369400
1978,0.024830980061246100,-0.20230604036110200,0.008240399983426800,-0.21936143269561700,0.20608817149179700,-0.4354911091287060,-0.25585544495707000,-0.4570189724240440,-0.15010881910654900,-0.6202867021427330,1.1354144812989900,0.49288378158140600,-0.5444628446038910,-0.8656664392772180,-0.7380458720727410,0.1259518204839040,-0.522053054143216,0.35008272250102300,0.43069692600037600
1979,-0.5912251547285620,-1.493444955759330,0.0457582492985227,-0.18571415561333800,0.26460751890470900,-0.12657899843773300,-0.4210015125348680,-0.019526970675321900,-0.3153087862339480,-0.4996588032506540,0.09630137726216540,-0.25719728180055200,-0.08035587943866650,-0.23467791788895900,-0.2594588766474930,0.24595500751516400,-0.147172913298993,0.6180268550927120,0.5371125388928960
1980,0.6082132578877580,-0.4464180891090740,0.04132141249030000,-0.20020405196137400,0.14729323773905200,-0.8666074956372400,-0.20034751771818800,-1.1616444902092500,-0.08833779193178980,-0.3063190576274320,0.8715394863927610,0.4327232570576280,-0.30059629836546800,-0.4889275251201090,-0.4419945736813390,0.1548971297791760,-0.4307688473398690,0.4188173063173850,0.4580298529460750
1981,0.5610568358153930,-0.6641467810413470,-0.08148380761174930,-0.31923026799976700,-0.04917596333926990,-0.015281789877802500,-0.2409364550842310,-0.026742457752347200,-0.13569980909254500,-0.3547862319780280,0.3020000110658600,-0.8573540392557780,0.12896869837293800,0.34264137225791200,-0.24680472621806500,0.16933972736117400,-0.385145503257401,0.45337384847844900,0.4717640318469900
1982,-0.39444150480526100,0.01188467635019760,0.02719492277962110,-0.23589317066306400,0.18622801282673600,-0.43111641330579500,0.25392458354730100,-0.10356194115708100,0.35906937530625100,-0.4121176559729850,-0.5199618489619230,0.47257101264141900,-0.10964182704582400,-0.304856509706619,-0.2921113366170460,-0.5131899223898490,-2.5140586935966800,-1.0550442179661500,-0.1271823193645180
1983,-0.6535301373981930,-0.09471263494047400,0.006990896744928820,-0.21792723861877000,0.20921394932890800,0.38010287550224600,0.0440208405935838,0.44783185794627200,0.14885378154479000,-0.022103815442406800,-0.1866066763329480,-0.9175030510871180,0.022256471384483300,-0.14707728525820100,-0.17355419245481200,0.9882449100039800,2.17118327626472,2.2722959292124600,1.1940119160913100
1984,-0.2312112015067040,0.32828402335039600,0.11344077295206200,-0.12138402797181000,0.29768766874919000,-0.07957140314513150,-0.44119297551517400,0.07710251583720510,-0.33640880969997600,-0.23044800020969800,0.3162369321207770,0.34869619936004200,-0.4848536153406120,-0.6783925844504270,-0.6116220410280280,-0.2243251175253840,-1.6113116867023900,-0.4091762527513220,0.12925740369119000
1985,0.2598571617004210,-0.5308193393936720,0.016627020773368200,-0.22568913655775900,0.06480671372995960,-0.41464601238518200,-0.2511731253649040,-0.7329082050159590,-0.1466576683111400,-0.2841184276952520,-0.1256193166154210,-0.16880652196608300,-0.32618904816257500,-0.36749022097980400,-0.5450597135317160,0.16295481023355300,-0.402204801081101,0.45182578151361100,0.4711097334103060
1986,-0.07277708001832160,-0.2826055499064550,0.14718659700065000,-0.059978113448093300,0.5646271570783590,0.3968626532370620,-0.0010904877123052200,-0.3103161000936230,0.10308726254092900,-0.33456464342648700,-0.5935974056137460,-0.4924429666857330,-0.33090811346728100,-0.37199192553876000,-0.5596702769802720,-0.338075024306299,-1.96468827783017,-0.6536766467553400,0.03209788388546820
1987,-0.05243984879558500,-0.5243021894952000,-0.13679269548487900,-0.3276542686378780,0.16483564997477500,0.3652772011360220,0.4338498736469390,0.6084850132357350,0.5365202516286730,-0.08740527324397190,-0.5124067997793650,1.0676664728426400,0.1477275737083960,0.19964502234701500,-0.23209414158405500,0.3117512874808130,0.063626827405614,0.7892970870961080,0.6049939884849580
1988,0.29834891228937100,-0.0541673107879194,-0.12178439327765400,-0.3964072929473350,-0.21063031885974400,-0.7564292120667480,-0.25282922197611800,-1.1830839116655800,-0.14923474118966600,-0.20282704621608200,-0.34135605178612800,0.4742416206759010,-0.20412359889069300,-0.05059090868904590,-0.5726160346998500,0.64247025587293,1.0963695734299900,1.5261421821866400,0.8974755363550700
1989,-1.1509317001216300,-0.47316426282011700,0.07918579532760190,-0.181209162106812,0.2720726747157850,0.7718494066790210,-0.17892099256412900,1.4202319256578900,-0.07608809391983020,-0.12062080996672900,-0.44952866268886900,0.11063316558819600,0.030675689423894700,-0.0770314511650822,-0.1301634191487120,-0.23170684891930900,-1.6301872699995300,-0.4043128940287540,0.13080552535357000
1990,-1.283782924374510,-0.41245689657956500,-0.20172286497177000,-0.42220745574489700,-0.11370498659607600,-0.5008350383514870,-0.4285705533998390,0.7677605642106100,-0.34562701001373400,-0.2500604302302670,-0.8711995185813280,0.29440680069027200,-0.2081911866914220,-0.36020501353076100,-0.3998786404451780,-0.24215639173238800,-1.6618511579857900,-0.42183350603160900,0.12366048624219200
1991,-0.36776047495071300,-0.04578599887540930,-0.06578046517051010,-0.282264334426918,-0.20000634780268200,-1.2750644789733100,0.2778170630613330,0.08277550034329350,0.3583484616691030,-0.7459833545177070,-0.786680458591847,-0.09851954170926770,-0.4217407838472150,-0.35379985535717300,-0.8581638928993300,-0.1349303462140410,-1.32641825174507,-0.1781663045010830,0.22016137686353400
1992,-0.5194356420197140,-1.452540551797510,-0.03498515971607040,-0.2635344365954160,0.31239802232285000,0.8396498595732630,0.05282706918673060,0.8079366658473700,0.11683566844981500,-0.19475773446868200,-0.5834077882311970,0.07688611167319070,0.18570310476186300,0.18545244912295500,-0.06533075242603180,-1.0943373369344000,0.662137035164228,1.2395269814769100,0.7827518598739560
1993,-0.9689560634451940,-0.9360866529576000,-0.344067558046483,-0.5780894815473190,-0.20162697276698200,0.5802698950480740,-0.6777638402965040,0.8971909347979480,-0.5828579930517510,0.20229163338083900,0.04488180366067820,0.7934402092717970,0.49021807783364200,0.545963255349791,0.3161245045200120,0.3206917708648440,-0.894907735302905,0.14243822610736100,0.34667914104655500
1994,-0.536030420389009,-0.8872321452805400,-0.09099472112886950,-0.30896981456579000,0.03635787709518070,-0.10596950697485800,0.15598159088660700,0.06592456939067990,0.24752300294606900,-0.43803051200254100,-0.41790888928570300,-0.5643844653867430,-0.19013694774381500,-0.28768740272686800,-0.37009152342205200,-0.2844359386434320,-2.1019645752140100,-0.704141359018802,0.009930715017896400
1995,-1.0092238845030700,-0.4547222123970620,-0.14114454163478400,-0.3809562056716240,0.029202014884472900,-0.746540721288665,-0.3546813856298450,0.5603258204010760,-0.20990844264074200,-0.27553715634097200,0.1918979031069170,0.0933400154423502,-0.19746130507574200,-0.46211009019307000,-0.3620752192502360,-1.2444742713711100,-1.4153139239614200,-0.20237410636304100,0.2083819967171010
