YEAR,ALA,WNA,ACN,ACS,GRL,ISL,SJM,SCA,RUA,ASN,CEU,CAU,ASC,ASW,ASE,TRP,SA,NZL,ANT
1956,-27.611358093477800,4.722301490566510,,,,-0.511754710277065,-17.354584385607700,-0.16632609576329200,-20.68806407027070,,0.2847412009267760,-0.48202074991143300,,,,,,,
1957,11.16347172244680,-0.5790764225521320,,,,1.4105699782761200,-18.03304808610700,0.16904129670007500,-21.7196129824901,-0.9560281063929390,0.568466164070813,-0.5198296361491020,10.344306394531600,10.537425914930800,-2.581028343785050,,,,
1958,-6.549902381219800,-48.111235502179100,,,,0.2762558832446530,-18.711090648392900,-0.12031275373963600,-22.7503375270736,0.46417843694867300,-0.647941896397708,-1.1249812029283400,36.36474382578300,28.323418229031,5.14688471480783,,,,
1959,-15.47247234148390,10.07260373919950,,,,-10.202711742275600,-25.31892719990160,-2.818945853205220,-32.84587126052620,-0.8171037266077020,-1.1957799557751300,-1.0762924978019400,10.911061975627400,0.5455294507104620,-2.011558430196230,,,,
1960,-21.611526475945000,-8.240005403867350,-50.53210173419520,-30.118606075354400,-71.56488592949640,-8.542271643135020,-39.54178645591860,-3.678855157002430,-54.58256748612570,-0.8070298114369200,0.9684788918553550,-0.456801102327462,12.989512841986400,12.39179960899840,-1.7975019137184600,,,,
1961,25.834495322221800,-16.30844547934390,-5.005538466049460,-12.835279848494700,-6.477732496780900,-3.5631115847092400,-25.65112331738340,-1.4916901796148200,-33.342180789823900,-1.1921509438188500,1.0316265612884200,-0.44998528716455100,3.8446224298240400,-4.6402836515847800,-4.096677845399070,,,,
1962,-2.426067410215770,2.73565037140135,-69.60276631289260,-36.23884681813360,-72.23293712175460,7.26744531049217,-5.00520908665723,3.1279083622134300,-1.7754097772428900,-1.5691329889532600,-0.7890581696172160,-0.9702786621178020,-3.2997335147322000,-9.456720126141070,-6.221197410829120,,,,
1963,51.602847930903800,-18.702088120298500,-3.022225058736660,-10.712487072530900,18.002990079477600,-10.169905862838000,-15.665623418242200,-1.777145266304880,-18.067465203085100,0.5867162156527950,-0.10224559336200200,-0.9207956439239540,39.243071364954400,32.39974767224180,5.919801502885420,,,,
1964,126.31297522736800,20.412202396029100,38.07462393771200,4.471894981770750,57.761766319696900,-0.15591592634339200,-5.016169777058860,1.2372156441445400,-1.7840799538466800,0.33516955519919500,-1.8582054263125200,-1.2550444436379800,35.53971258345540,35.29738963795430,4.619535743656730,,,,
1965,55.907588057097700,-1.9837488717426800,12.533431302493300,-4.7998332628812000,34.24288807023500,1.0429343151413600,-3.8376962402340900,1.8598653711336900,0.01936436659619050,0.17947507673798800,2.3451988232308100,0.3872063021907170,29.657131432965100,15.314601570482300,3.4978206757032800,,,,
1966,-44.56885069420610,0.31063578500714100,-1.41994357716977,-10.807461744139400,2.986057549029320,-8.140358937515070,-21.5742303851757,-1.891916636583200,-27.09478398357040,-0.8611923820022590,2.1718480776440800,-0.06138971577773350,12.772291771750100,18.221763150669600,-2.085038989901950,,,,
1967,-41.09358047693750,-7.319895273666650,12.079852439356400,-5.2070844408367500,17.166103493520500,4.72658482036093,-11.64899020636420,2.126967415629560,-11.988098028248800,-0.1664774916122200,0.7860987169042950,-0.32936981400365,25.366072864964300,24.448749752613900,1.7652947887444200,,,,
1968,-29.80161809302750,5.393094358739860,-8.865444633704830,-12.465724901294000,4.413604568187980,0.7525553981479420,7.005773294019870,0.28882122243027200,16.350781286842900,-2.0991165552368900,1.7080081289543500,0.23598721835300400,-14.631640930777500,-11.670775174595400,-9.312457355290660,,,,
